ws-4_rxns,ws-4_kcat
6PGL_h,3376.5
ABCAT_h1,835
ABCAT_h2,835
ABCAT_h3,835
ABCAT_h4,835
ABCAT_h5,835
ACoAC_h_EXP_1,301
ACoAC_h_EXP_2,30.1
AGNDA_h_EXP_1,6.1
AGNDA_h_EXP_2,6.1
AGNDA_h_EXP_3,6.1
AGNDA_h_EXP_4,6.1
AGPase_h_EXP_1,59.5
AGPase_h_EXP_2,59.5
AGPase_h_EXP_3,59.5
AGPase_h_EXP_4,59.5
AGPase_h_EXP_5,59.5
AGPase_h_EXP_6,59.5
AICARTf_h,13.0166166666667
ALS1_h,486
AOS_h,537.8
AOX4_h,0.2149
AOX_h_EXP_1,75
AOX_h_EXP_2,75
AOX_h_EXP_3,75
APSR_h_EXP_1,8.4
APSR_h_EXP_2,8.4
APSR_h_EXP_3,8.4
ATPSL_h_EXP_1,2.11
ATPSL_h_EXP_2,2.11
ATPSL_h_EXP_3,2.11
ATPase_h_EXP_1,3900
ATPase_h_EXP_10,390
ATPase_h_EXP_100,390
ATPase_h_EXP_101,390
ATPase_h_EXP_102,390
ATPase_h_EXP_103,390
ATPase_h_EXP_104,390
ATPase_h_EXP_105,390
ATPase_h_EXP_106,390
ATPase_h_EXP_107,390
ATPase_h_EXP_108,390
ATPase_h_EXP_109,390
ATPase_h_EXP_11,390
ATPase_h_EXP_110,390
ATPase_h_EXP_111,390
ATPase_h_EXP_112,390
ATPase_h_EXP_113,390
ATPase_h_EXP_114,390
ATPase_h_EXP_115,390
ATPase_h_EXP_116,390
ATPase_h_EXP_117,390
ATPase_h_EXP_118,390
ATPase_h_EXP_119,390
ATPase_h_EXP_12,390
ATPase_h_EXP_120,390
ATPase_h_EXP_121,390
ATPase_h_EXP_122,390
ATPase_h_EXP_123,390
ATPase_h_EXP_124,390
ATPase_h_EXP_125,390
ATPase_h_EXP_126,390
ATPase_h_EXP_127,390
ATPase_h_EXP_128,390
ATPase_h_EXP_129,390
ATPase_h_EXP_13,390
ATPase_h_EXP_130,390
ATPase_h_EXP_131,390
ATPase_h_EXP_132,390
ATPase_h_EXP_133,390
ATPase_h_EXP_134,390
ATPase_h_EXP_135,390
ATPase_h_EXP_136,390
ATPase_h_EXP_137,390
ATPase_h_EXP_138,390
ATPase_h_EXP_139,390
ATPase_h_EXP_14,390
ATPase_h_EXP_140,390
ATPase_h_EXP_141,390
ATPase_h_EXP_142,390
ATPase_h_EXP_143,390
ATPase_h_EXP_144,390
ATPase_h_EXP_145,390
ATPase_h_EXP_146,390
ATPase_h_EXP_147,390
ATPase_h_EXP_148,390
ATPase_h_EXP_149,390
ATPase_h_EXP_15,390
ATPase_h_EXP_150,390
ATPase_h_EXP_151,390
ATPase_h_EXP_152,390
ATPase_h_EXP_153,390
ATPase_h_EXP_154,390
ATPase_h_EXP_155,390
ATPase_h_EXP_156,390
ATPase_h_EXP_157,390
ATPase_h_EXP_158,390
ATPase_h_EXP_159,390
ATPase_h_EXP_16,390
ATPase_h_EXP_160,390
ATPase_h_EXP_161,390
ATPase_h_EXP_162,390
ATPase_h_EXP_163,390
ATPase_h_EXP_164,390
ATPase_h_EXP_165,390
ATPase_h_EXP_166,390
ATPase_h_EXP_167,390
ATPase_h_EXP_168,390
ATPase_h_EXP_169,390
ATPase_h_EXP_17,390
ATPase_h_EXP_170,390
ATPase_h_EXP_171,390
ATPase_h_EXP_172,390
ATPase_h_EXP_173,390
